12:12:11.261073,FB486F17-C927-47F6-B0D7,DPI_2005_Conf,-41,Bob 
12:12:21.049380,FB486F17-C927-47F6-B0D7,DPI_2005_Conf,-41,Bob 
12:12:31.055655,14AAA341-76D4-45B5-8B26,DPI_2005_Conf,-40,Bob 
12:12:41.086290,14AAA341-76D4-45B5-8B26,DPI_2005_Conf,-41,Bob 
12:12:51.061233,14AAA341-76D4-45B5-8B26,DPI_2005_Conf,-41,Bob 
12:13:01.084138,39A5A403-3589-48E7-994A,DPI_2005_Conf,-41,Bob 
12:13:11.071967,39A5A403-3589-48E7-994A,DPI_2005_Conf,-41,Bob 
12:13:21.200278,39A5A403-3589-48E7-994A,DPI_2005_Conf,-40,Bob 
12:13:31.105809,7FA5391F-4718-4013-9E5B,DPI_2005_Conf,-41,Bob 
12:13:41.050360,7FA5391F-4718-4013-9E5B,DPI_2005_Conf,-44,Bob 
12:13:51.081757,7FA5391F-4718-4013-9E5B,DPI_2005_Conf,-41,Bob 
12:14:01.105809,5770777A-4D3C-4B35-9D3A,DPI_2005_Conf,-41,Bob 
12:14:11.053202,5770777A-4D3C-4B35-9D3A,DPI_2005_Conf,-42,Bob 
12:14:21.169567,5770777A-4D3C-4B35-9D3A,DPI_2005_Conf,-39,Bob 
12:14:31.094409,9BB7CAD2-F549-4055-918A,DPI_2005_Conf,-41,Bob 
12:14:41.021850,9BB7CAD2-F549-4055-918A,DPI_2005_Conf,-41,Bob 
12:14:51.105304,9BB7CAD2-F549-4055-918A,DPI_2005_Conf,-41,Bob 
12:15:01.100360,8A843AB9-8ECB-4FFB-8E73,DPI_2005_Conf,-41,Bob 
12:15:11.111197,8A843AB9-8ECB-4FFB-8E73,DPI_2005_Conf,-41,Bob 
12:15:21.051620,8A843AB9-8ECB-4FFB-8E73,DPI_2005_Conf,-41,Bob 
12:15:31.124724,D0417191-67AF-41A6-B647,DPI_2005_Conf,-38,Bob 
12:15:41.218777,D0417191-67AF-41A6-B647,DPI_2005_Conf,-37,Bob 
12:15:51.094823,D0417191-67AF-41A6-B647,DPI_2005_Conf,-40,Bob 
12:16:01.066707,79666461-751D-416A-9616,DPI_2005_Conf,-41,Bob 
12:16:11.107755,79666461-751D-416A-9616,DPI_2005_Conf,-41,Bob 
12:16:21.073307,79666461-751D-416A-9616,DPI_2005_Conf,-41,Bob 
12:16:31.050565,CA04D8D7-4E5C-48B0-AA21,DPI_2005_Conf,-43,Bob 
12:16:41.069938,CA04D8D7-4E5C-48B0-AA21,DPI_2005_Conf,-41,Bob 
12:16:51.021978,CA04D8D7-4E5C-48B0-AA21,DPI_2005_Conf,-40,Bob 
12:17:01.066272,766017D0-429B-47B2-BD41,DPI_2005_Conf,-42,Bob 
12:17:11.050281,766017D0-429B-47B2-BD41,DPI_2005_Conf,-49,Bob 
12:17:21.109368,766017D0-429B-47B2-BD41,DPI_2005_Conf,-42,Bob 
12:18:01.094012,CAF168F4-7574-4347-B0A0,DPI_2005_Conf,-45,Bob 
12:18:11.107026,CAF168F4-7574-4347-B0A0,DPI_2005_Conf,-45,Bob 
12:18:21.040885,CAF168F4-7574-4347-B0A0,DPI_2005_Conf,-46,Bob 
12:18:31.079514,CDF37C10-E17C-4D97-AC4A,DPI_2005_Conf,127,Bob 
12:18:41.098210,CDF37C10-E17C-4D97-AC4A,DPI_2005_Conf,-38,Bob 
12:18:51.090599,CDF37C10-E17C-4D97-AC4A,DPI_2005_Conf,-38,Bob 
12:19:01.073474,8FB6BDB4-BA5D-41E1-BD5F,DPI_2005_Conf,-40,Bob 
12:19:11.050075,8FB6BDB4-BA5D-41E1-BD5F,DPI_2005_Conf,-48,Bob 
12:19:21.093228,8FB6BDB4-BA5D-41E1-BD5F,DPI_2005_Conf,-39,Bob 
12:19:31.075774,CE1069EA-67FA-4CFD-89E8,DPI_2005_Conf,-45,Bob 
12:19:41.067535,CE1069EA-67FA-4CFD-89E8,DPI_2005_Conf,-43,Bob 
